name,artists,movies,image
Let It Go,Idina Menzel,Frozen,https://images-na.ssl-images-amazon.com/images/I/61gYerL61JL._SS500.jpg
Somewhere In the Crowd,Emma Stone,La La Land,'https://upload.wikimedia.org/wikipedia/en/thumb/8/83/La_La_Land_soundtrack.jpg/220px-La_La_Land_soundtrack.jpg
City of Stars,Emma Stone;Ryan Gosling,La La Land,'https://upload.wikimedia.org/wikipedia/en/thumb/8/83/La_La_Land_soundtrack.jpg/220px-La_La_Land_soundtrack.jpg
Can't Help Falling in Love,Kina Grannis,Crazy Rich Asians,https://i.ytimg.com/vi/GR6L_C0Ii6s/maxresdefault.jpg
Sweet Home Alabama,Lynyrd Skynyrd,Despicable Me;Forrest Gump,https://img.discogs.com/TUwRx5jpVf0EgCIsGdqGEhO9j64=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7800158-1449031512-4317.jpeg.jpg
Kung Fu Fighting,Carl Douglas,Kung Fu Panda;Rush Hour 3,https://img.discogs.com/j8Y-Y39_7ZqvjXr49Reop_rYNkQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-5375146-1397606049-7965.png.jpg
Stayin' Alive,The Bee Gees,Madagascar;Saturday Night Fever,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Bee_Gees_Stayin_Alive.jpg/220px-Bee_Gees_Stayin_Alive.jpg
What a Wonderful World,Louie Armstrong;Israel Kamakawiwo'ole,Madagascar;The Mentalist,https://img.discogs.com/qiN8MZ-cY8C3RrBv2GHWpEKsnFM=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2977237-1348953297-6252.jpeg.jpg
For the First Time in Forever,Kristen Bell;Idina Menzel,Frozen,https://images-na.ssl-images-amazon.com/images/I/61gYerL61JL._SS500.jpg
How Does A Moment Last Forever,Emma Watson,Beauty and the Beast,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/BATB_2017_Soundtrack.jpg/220px-BATB_2017_Soundtrack.jpg
Fools Who Dream,Emma Stone,La La Land,'https://upload.wikimedia.org/wikipedia/en/thumb/8/83/La_La_Land_soundtrack.jpg/220px-La_La_Land_soundtrack.jpg
For Forever,Ben Platt,Dear Evan Hansen,https://images-na.ssl-images-amazon.com/images/I/81fgTw%2BSTAL._SL1430_.jpg
Do You Wanna Build A Snowman,Kristen Bell;Idina Menzel,Frozen,https://images-na.ssl-images-amazon.com/images/I/61gYerL61JL._SS500.jpg
I Just Can't Wait to Be King,Rowan Atkinson;Laura Williams;Jason Weaver,The Lion King,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/LionKingsoundtrackalbumcover.png/220px-LionKingsoundtrackalbumcover.png
Circle of Life,Lebo M.;Carmen Twillie,The Lion King,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/LionKingsoundtrackalbumcover.png/220px-LionKingsoundtrackalbumcover.png
Love is an Open Door,Kristen Bell;Santino Fontana,Frozen,https://images-na.ssl-images-amazon.com/images/I/61gYerL61JL._SS500.jpg
Take Me or Leave Me,Idina Menzel;Tracie Thoms,Rent,https://newcastlelive.com.au/wp-content/uploads/2017/07/19875241_1603375303020608_6202486065549890587_n.jpg
Cups,Anna Kendrick,Pitch Perfect,http://tribzap2it.files.wordpress.com/2013/08/pitch-perfect-holiday-album.jpg
A Summer in Ohio,Anna Kendrick,The Last Five Years,https://lastfiveyears.merchnow.com/img/bg/header.png
Goodbye Until Tomorrow,Anna Kendrick;Jeremy Jordan,The Last Five Years,https://lastfiveyears.merchnow.com/img/bg/header.png
A Whole New World,Lea Salonga;Brad Kane,Aladdin,https://images-na.ssl-images-amazon.com/images/I/41r33aLw37L._SS500.jpg
Part of Your World,Jodi Benson,The Little Mermaid,https://img.discogs.com/clBr9lCAsFcZinvqMyuS7sxRzAU=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-4695191-1372508264-5973.jpeg.jpg
Reflection,Lea Salonga,Mulan,https://is4-ssl.mzstatic.com/image/thumb/Music6/v4/91/14/33/91143347-b9df-1dd6-97c5-35fcf7134bb8/00094635322859.jpg/268x0w.jpg
I'll Make A Man Out of You,Lea Salonga;Donny Osmond,Mulan,https://is4-ssl.mzstatic.com/image/thumb/Music6/v4/91/14/33/91143347-b9df-1dd6-97c5-35fcf7134bb8/00094635322859.jpg/268x0w.jpg
Only Us,Ben Platt;Laura Dreyfuss,Dear Evan Hansen,https://images-na.ssl-images-amazon.com/images/I/81fgTw%2BSTAL._SL1430_.jpg
Can't Stop the Feeling,Justin Timberlake,Trolls,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Justin_Timberlake_-_Can%27t_Stop_the_Feeling.png/220px-Justin_Timberlake_-_Can%27t_Stop_the_Feeling.png
Hello,Zooey Deschanel,Trolls,https://vignette.wikia.nocookie.net/arianagrande/images/6/64/Trolls_Soundtrack_Album_Cover.png/revision/latest?cb=20160923132844
They Don't Know,Ariana Grande,Trolls,https://i1.sndcdn.com/artworks-000184569227-x29m37-t500x500.jpg
Hair Up,Justin Timberlake;Gwen Stefani;Ron Funches,Trolls,https://vignette.wikia.nocookie.net/arianagrande/images/6/64/Trolls_Soundtrack_Album_Cover.png/revision/latest?cb=20160923132844
Seasons of Love,Adam Pascal;Idina Menzel;Jesse L. Martin;Taye Diggs,Rent,https://newcastlelive.com.au/wp-content/uploads/2017/07/19875241_1603375303020608_6202486065549890587_n.jpg
